__table__,Outlet ID,Outlet Name,KA Manager,Employee ID,Segment,Is Active,Has Fridge,Has Draught,Draught Installed,__empty__,Date,SKU,Sales Unit,Actual Volume,Category,Raw Actual Volume,Crate Equivalent Factor,Target Date,Target Month,Full Month Target,Raw Full Month Target,Target Crate Equivalent Factor,Source Employee ID,Target Owner Mapping,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Is Working Day,KPI,Weight,Included Final,Key,Value
outlets,1564382,Kena Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1003655,Nexus Hotel,Alemayehu,3359,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011696,Panaroma Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011638,Sidra Hotel,Alemayehu,3359,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1009386,southeget hotel apartment,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1090850,The Hub Addis Ababa,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1634942,Tripple-e Hotel & Spa,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025308,Aphridite International Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1012278,Kings Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1775066,2RN Solomon hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1019834,Debredamo Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1049412,Ras Amba Hotel,London,2526,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1090267,ASB Hotel Properties Plc,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024272,Azzeman Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000401,Beer Garden Inn.,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1863003,Belema Risort,Netsanet,215,Hotel,True,False,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1057503,Best Western Plus Addis Ababa Hotel,Netsanet,215,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1710068,Best Western Premier hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1048543,Bole international,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000403,Bonanza Addis Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1571675,Cassiopia Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1020216,Cleste Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2958749,crescnt hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1202828,Da'amat Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1234427,DE Lopol  Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001845,Desalegn Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1066889,Diamond Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1016684,Dreamliner Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1620289,Elmos Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001703,Ethiopia Hotel No. 2,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1125087,Etiopian Skylight Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000507,Friendship Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1008961,Golden Tulip Hotel,Netsanet,215,Hotel,True,False,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1009628,greek club,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1057632,Hanom Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000358,Harmony Hotel,Netsanet,215,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000359,Kaleb Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1008894,Kenenisa Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2934800,Kuriftu Resort,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025643,Lalibela Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1591828,lidu hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024273,Magnolia Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1009584,Marriott Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1065627,Medal Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1020888,meskel flower hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011906,Momona Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1003197,Nega Bonger Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1066345,Panda Restaurant,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000770,Ramada Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000762,Relianece hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2729788,Romanat hotel,Netsanet,215,Hotel,True,False,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011735,Sabon Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1048516,Samra hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1055872,Saphire Addis Hotel,Netsanet,215,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000506,Saro-maria Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
