Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-05,1133405,1.0,1.0,1.0,1.0,1.0,Sawi,Netsanet,Unspecified
2026-06-05,1207997,1.0,0.0,0.0,0.0,,Damo butchery  (bulbula,Alemayehu,Unspecified
2026-06-05,1210611,1.0,0.0,0.0,0.0,,Yod jame hotel,Alemayehu,Unspecified
2026-06-05,1212593,1.0,1.0,1.0,1.0,1.0,Tanab Hotel,Netsanet,Unspecified
2026-06-05,1215666,1.0,0.0,0.0,0.0,,Amene butchery,Alemayehu,Unspecified
2026-06-05,1225952,1.0,1.0,1.0,1.0,1.0,Yodat Hotel,Netsanet,Unspecified
2026-06-05,1231987,1.0,0.0,0.0,0.0,,Amerega buchery,Chandra,Unspecified
2026-06-05,1233883,1.0,0.0,0.0,0.0,,Kiya Hotel and Resort,Netsanet,Unspecified
2026-06-05,1651657,1.0,0.0,0.0,0.0,,Oda Bar and Res,Netsanet,Unspecified
2026-06-05,1863003,2.0,0.0,0.0,0.0,,Belema Risort,Netsanet,Unspecified
2026-06-05,2387988,1.0,0.0,0.0,0.0,,Sheger Kurt,Alemayehu,Unspecified
2026-06-05,2400336,1.0,1.0,1.0,1.0,1.0,Evana Hotel,Netsanet,Unspecified
2026-06-05,2810710,1.0,1.0,1.0,1.0,1.0,Kerab Abziyo,Netsanet,Unspecified
2026-06-05,2868756,0.0,1.0,0.0,,0.0,Juventus club,Netsanet,Unspecified
2026-06-05,290592,1.0,0.0,0.0,0.0,,,Unassigned,Unspecified
2026-06-05,2934800,1.0,0.0,0.0,0.0,,Kuriftu Resort,Netsanet,Unspecified
2026-06-05,2942456,1.0,1.0,1.0,1.0,1.0,Yosra Lounge,Netsanet,Unspecified
2026-06-06,1000358,1.0,1.0,1.0,1.0,1.0,Harmony Hotel,Netsanet,Unspecified
2026-06-06,1000359,0.0,1.0,0.0,,0.0,Kaleb Hotel,Netsanet,Unspecified
2026-06-06,1000401,1.0,1.0,1.0,1.0,1.0,Beer Garden Inn.,Netsanet,Unspecified
2026-06-06,1000403,1.0,0.0,0.0,0.0,,Bonanza Addis Hotel,Netsanet,Unspecified
2026-06-06,1000762,1.0,0.0,0.0,0.0,,Relianece hotel,Netsanet,Unspecified
2026-06-06,1001652,1.0,0.0,0.0,0.0,,Kertina butchery(gerji t,Alemayehu,Unspecified
2026-06-06,1001664,1.0,0.0,0.0,0.0,,Yoalu bar and resturant,Alemayehu,Unspecified
2026-06-06,1008852,1.0,0.0,0.0,0.0,,Joni Hotel,Chandra,Unspecified
2026-06-06,1008894,1.0,1.0,1.0,1.0,1.0,Kenenisa Hotel,Netsanet,Unspecified
2026-06-06,1010277,1.0,0.0,0.0,0.0,,Totot Cultural Restaurant,Alemayehu,Unspecified
2026-06-06,1015124,1.0,0.0,0.0,0.0,,Golden plus Bar and Resturant,Chandra,Unspecified
2026-06-06,1018357,1.0,0.0,0.0,0.0,,Eliana Hotel,Chandra,Unspecified
2026-06-06,1046406,1.0,1.0,1.0,1.0,1.0,Venetian Hotel,Netsanet,Unspecified
2026-06-06,1046424,1.0,1.0,1.0,1.0,1.0,Sun City  Supermarket,Netsanet,Unspecified
2026-06-06,1207099,1.0,0.0,0.0,0.0,,Asko level 5 Hotel,Chandra,Unspecified
2026-06-06,1215982,1.0,0.0,0.0,0.0,,Kertina butchery(korean,Alemayehu,Unspecified
2026-06-06,1235717,1.0,0.0,0.0,0.0,,Monarch Hotel,Chandra,Unspecified
2026-06-06,1235789,1.0,1.0,1.0,1.0,1.0,Bwon korea resturant,Netsanet,Unspecified
2026-06-06,1571675,1.0,1.0,1.0,1.0,1.0,Cassiopia Hotel,Netsanet,Unspecified
2026-06-06,1574246,1.0,0.0,0.0,0.0,,One View Bar and Restaurant,Chandra,Unspecified
2026-06-06,1575604,1.0,0.0,0.0,0.0,,Winer  fiyel,Alemayehu,Unspecified
2026-06-06,2048809,1.0,0.0,0.0,0.0,,abem Hotel,Chandra,Unspecified
2026-06-06,2614279,1.0,1.0,1.0,1.0,1.0,Zemena kitifo,Netsanet,Unspecified
2026-06-06,2763062,1.0,1.0,1.0,1.0,1.0,,Unassigned,Unspecified
2026-06-08,1000482,1.0,0.0,0.0,0.0,,Capital Hotel and Spa,Alemayehu,Unspecified
2026-06-08,1001420,1.0,0.0,0.0,0.0,,Shewa Hotel,Chandra,Unspecified
2026-06-08,1001640,1.0,1.0,1.0,1.0,1.0,Beemnet Bar and Restaurant,Alemayehu,Unspecified
2026-06-08,1001901,1.0,0.0,0.0,0.0,,St.Gorge House,Chandra,Unspecified
2026-06-08,1002706,1.0,0.0,0.0,0.0,,Wegagen Hotel,Chandra,Unspecified
2026-06-08,1002844,1.0,0.0,0.0,0.0,,National Hotel,Chandra,Unspecified
2026-06-08,1002879,1.0,0.0,0.0,0.0,,Roma Bar,Chandra,Unspecified
2026-06-08,1002955,1.0,0.0,0.0,0.0,,KG Corner Bar and Restaurant,Chandra,Unspecified
2026-06-08,1003056,0.0,1.0,0.0,,0.0,Zekir buchery,Alemayehu,Unspecified
2026-06-08,1003655,1.0,1.0,1.0,1.0,1.0,Nexus Hotel,Alemayehu,Unspecified
2026-06-08,1005314,1.0,1.0,1.0,1.0,1.0,Yod Abyssinia cultural Ambassador,Alemayehu,Unspecified
2026-06-08,1009150,1.0,1.0,1.0,1.0,1.0,Yilma Butchery,Alemayehu,Unspecified
2026-06-08,1009239,1.0,1.0,1.0,1.0,1.0,Checheho Yebahil Migb Adarash,Alemayehu,Unspecified
2026-06-08,1011638,1.0,1.0,1.0,1.0,1.0,Sidra Hotel,Alemayehu,Unspecified
